# L  T  POL  MV
1.090000000000000000e+02 7.611313120850416131e-08 1.301887224511942804e-08 9.701614044743546805e-09
1.100000000000000000e+02 7.620607295318114161e-08 1.303579413404802186e-08 9.720082310757030685e-09
1.110000000000000000e+02 7.629966346850367401e-08 1.305282668134286237e-08 9.738697273681395775e-09
1.120000000000000000e+02 7.639388289560904051e-08 1.306996853501042815e-08 9.757457808323097581e-09
1.130000000000000000e+02 7.648874522337093179e-08 1.308721834712111131e-08 9.776363293291132777e-09
1.140000000000000000e+02 7.658423126494421337e-08 1.310457475571889166e-08 9.795412585454106880e-09
1.150000000000000000e+02 7.668035225945179220e-08 1.312203640396217528e-08 9.814605012816606426e-09
1.160000000000000000e+02 7.677708943551855177e-08 1.313960192110404858e-08 9.833939397499384488e-09
1.170000000000000000e+02 7.687445563649594680e-08 1.315726994188601744e-08 9.853415069391697414e-09
1.180000000000000000e+02 7.697242948957627249e-08 1.317503908751022597e-08 9.873030772567850372e-09
1.190000000000000000e+02 7.707102695997877295e-08 1.319290798604483097e-08 9.892785864529549921e-09
1.200000000000000000e+02 7.717022275670987359e-08 1.321087525083904478e-08 9.912679019387852345e-09
1.210000000000000000e+02 7.727003418362908722e-08 1.322893950338532875e-08 9.932709571606000180e-09
1.220000000000000000e+02 7.737043951759764229e-08 1.324709935030578105e-08 9.952876220617073199e-09
1.230000000000000000e+02 7.747145128752112608e-08 1.326535340799077994e-08 9.973178208753886915e-09
1.240000000000000000e+02 7.757304612731496529e-08 1.328370027624559507e-08 9.993614165117101510e-09
1.250000000000000000e+02 7.767524010144303096e-08 1.330213856635951089e-08 1.001418337435784117e-08
1.260000000000000000e+02 7.777801185530745023e-08 1.332066687389887031e-08 1.003488448402506426e-08
1.270000000000000000e+02 7.788137315451392133e-08 1.333928380457097426e-08 1.005571665297464804e-08
1.280000000000000000e+02 7.798530346829279960e-08 1.335798795155113061e-08 1.007667851541673410e-08
1.290000000000000000e+02 7.808981272848933575e-08 1.337677791650803185e-08 1.009776918700158596e-08
1.300000000000000000e+02 7.819488352893182048e-08 1.339565228968169575e-08 1.011898731859760303e-08
1.310000000000000000e+02 7.830052447974988055e-08 1.341460966850744672e-08 1.014033196133263999e-08
1.320000000000000000e+02 7.840671713462162078e-08 1.343364864257885092e-08 1.016180174036822700e-08
1.330000000000000000e+02 7.851347165467526979e-08 1.345276780628780038e-08 1.018339569744805319e-08
1.340000000000000000e+02 7.862076938790933490e-08 1.347196574770862166e-08 1.020511241918968576e-08
1.350000000000000000e+02 7.872861831922871216e-08 1.349124105991719715e-08 1.022695089044489140e-08
1.360000000000000000e+02 7.883699982805716209e-08 1.351059233016728034e-08 1.024890966206457959e-08
1.370000000000000000e+02 7.894592322344305260e-08 1.353001815059260647e-08 1.027098771456299528e-08
1.380000000000000000e+02 7.905536991318562883e-08 1.354951710808747437e-08 1.029318356750539801e-08
1.390000000000000000e+02 7.916534949149118849e-08 1.356908779411282701e-08 1.031549617895399511e-08
1.400000000000000000e+02 7.927584090070541817e-08 1.358872879705107434e-08 1.033792399322782129e-08
1.410000000000000000e+02 7.938685622236351466e-08 1.360843870735944184e-08 1.036046598553108025e-08
1.420000000000000000e+02 7.949837329894207217e-08 1.362821611612264754e-08 1.038312054989299652e-08
1.430000000000000000e+02 7.961040284270552071e-08 1.364805961475645048e-08 1.040588660863951860e-08
1.440000000000000000e+02 7.972292433145608317e-08 1.366796779648816172e-08 1.042876254709857453e-08
1.450000000000000000e+02 7.983594572057806185e-08 1.368793925397633285e-08 1.045174721279844982e-08
1.460000000000000000e+02 7.994944929143115932e-08 1.370797258459591070e-08 1.047483901455368317e-08
1.470000000000000000e+02 8.006344158937310030e-08 1.372806638234684265e-08 1.049803674809024849e-08
1.480000000000000000e+02 8.017790396560988086e-08 1.374821924832214486e-08 1.052133876508839476e-08
1.490000000000000000e+02 8.029284425048943338e-08 1.376842978031322480e-08 1.054474385905045079e-08
1.500000000000000000e+02 8.040824359800521689e-08 1.378869658475204160e-08 1.056825035369442052e-08
1.510000000000000000e+02 8.052410785274577881e-08 1.380901826144907283e-08 1.059185696972198233e-08
1.520000000000000000e+02 8.064042036362220583e-08 1.382939342142381305e-08 1.061556203802759701e-08
1.530000000000000000e+02 8.075718595695690857e-08 1.384982066985971300e-08 1.063936423447115769e-08
1.540000000000000000e+02 8.087438674200243416e-08 1.387029862176017585e-08 1.066326184398014596e-08
1.550000000000000000e+02 8.099202901030001416e-08 1.389082588797062423e-08 1.068725352516922644e-08
1.560000000000000000e+02 8.111009238267268313e-08 1.391140108844643927e-08 1.071133749845825195e-08
1.570000000000000000e+02 8.122858565107075891e-08 1.393202284159478630e-08 1.073551243954881639e-08
1.580000000000000000e+02 8.134748727161944503e-08 1.395268977124603855e-08 1.075977650929467612e-08
1.590000000000000000e+02 8.146680505963292429e-08 1.397340050388304626e-08 1.078412833479206064e-08
1.600000000000000000e+02 8.158651877023347559e-08 1.399415366875027828e-08 1.080856608364801740e-08
1.610000000000000000e+02 8.170663592302089943e-08 1.401494789909276323e-08 1.083308834341755741e-08
1.620000000000000000e+02 8.182713664763883625e-08 1.403578183115807124e-08 1.085769325627437605e-08
1.630000000000000000e+02 8.194802621390884223e-08 1.405665410646284020e-08 1.088237934132016099e-08
1.640000000000000000e+02 8.206928493452650392e-08 1.407756336751232116e-08 1.090714471060904412e-08
1.650000000000000000e+02 8.219091900437747478e-08 1.409850826421873905e-08 1.093198787351312357e-08
1.660000000000000000e+02 8.231290886035174732e-08 1.411948744680035912e-08 1.095690691813142039e-08
1.670000000000000000e+02 8.243526085722505663e-08 1.414049957301127375e-08 1.098190033458594506e-08
1.680000000000000000e+02 8.255795343947083424e-08 1.416154330115595317e-08 1.100696613267406732e-08
1.690000000000000000e+02 8.268099296484360512e-08 1.418261729772229278e-08 1.103210277753884399e-08
1.700000000000000000e+02 8.280435902384883150e-08 1.420372023017595024e-08 1.105730827767222146e-08
1.710000000000000000e+02 8.292805794596685356e-08 1.422485077341829996e-08 1.108258107199032064e-08
1.720000000000000000e+02 8.305206960375347150e-08 1.424600760348983837e-08 1.110791914007267374e-08
1.730000000000000000e+02 8.317639828833896628e-08 1.426718940525583328e-08 1.113332085332574421e-08
1.740000000000000000e+02 8.330102404329166233e-08 1.428839486405002792e-08 1.115878416866956309e-08
1.750000000000000000e+02 8.342595209968738033e-08 1.430962267415353334e-08 1.118430745316832905e-08
1.760000000000000000e+02 8.355116069535724843e-08 1.433087153125382150e-08 1.120988860239879567e-08
1.770000000000000000e+02 8.367665528150828452e-08 1.435214013870146482e-08 1.123552596423129577e-08
1.780000000000000000e+02 8.380241519491318161e-08 1.437342720340666022e-08 1.126121742630603146e-08
1.790000000000000000e+02 8.392844593712578864e-08 1.439473143789542648e-08 1.128696130631142909e-08
1.800000000000000000e+02 8.405472525982861615e-08 1.441605156010516815e-08 1.131275544251333461e-08
1.810000000000000000e+02 8.418125865576757482e-08 1.443738629238980227e-08 1.133859812970493501e-08
1.820000000000000000e+02 8.430802510049266481e-08 1.445873436447300000e-08 1.136448720823228493e-08
1.830000000000000000e+02 8.443503008304786577e-08 1.448009450841603166e-08 1.139042094344511388e-08
1.840000000000000000e+02 8.456225107469412845e-08 1.450146546515248034e-08 1.141639712354253000e-08
1.850000000000000000e+02 8.468969169962493181e-08 1.452284597804073631e-08 1.144241394860535488e-08
1.860000000000000000e+02 8.481733249206155380e-08 1.454423479909534877e-08 1.146846924986529898e-08
1.870000000000000000e+02 8.494517619389701235e-08 1.456563068329066304e-08 1.149456119636836819e-08
1.880000000000000000e+02 8.507320282055334907e-08 1.458703239431199899e-08 1.152068757549505137e-08
1.890000000000000000e+02 8.520141445825990168e-08 1.460843869828272183e-08 1.154684652553028090e-08
1.900000000000000000e+02 8.532979116620285275e-08 1.462984837039039562e-08 1.157303581629379408e-08
