# L  T  POL  MV
3.900000000000000000e+01 5.918928509776221642e-08 7.472195448815420393e-09 5.875574959343268201e-09
4.000000000000000000e+01 5.922541556261081699e-08 7.474696041142906338e-09 5.878822302009263564e-09
4.100000000000000000e+01 5.926221644774583213e-08 7.477299184101116277e-09 5.882175889957114968e-09
4.200000000000000000e+01 5.929961167432728361e-08 7.480002217435106670e-09 5.885633284603641236e-09
4.300000000000000000e+01 5.933765650041976079e-08 7.482802783671504249e-09 5.889193492624791781e-09
4.400000000000000000e+01 5.937628725889379120e-08 7.485698716589495865e-09 5.892854535164312410e-09
4.500000000000000000e+01 5.941554947562498031e-08 7.488688073133759277e-09 5.896615565615967741e-09
4.600000000000000000e+01 5.945538515271214477e-08 7.491769075950973759e-09 5.900474928534036020e-09
4.700000000000000000e+01 5.949584916475762962e-08 7.494940056162004411e-09 5.904432107614037786e-09
4.800000000000000000e+01 5.953687428202290061e-08 7.498199558947075307e-09 5.908485508350566072e-09
4.900000000000000000e+01 5.957850673164920103e-08 7.501546073817974209e-09 5.912634605628068129e-09
5.000000000000000000e+01 5.962070100134473325e-08 7.504978433210264078e-09 5.916878269743498623e-09
5.100000000000000000e+01 5.966348832071251463e-08 7.508495193909572541e-09 5.921215858749056118e-09
5.200000000000000000e+01 5.970683184572060432e-08 7.512095453341733097e-09 5.925646464906996749e-09
5.300000000000000000e+01 5.975076669587776219e-08 7.515777769220005146e-09 5.930169509752197466e-09
5.400000000000000000e+01 5.979525048352343159e-08 7.519541486665742575e-09 5.934784220379892038e-09
5.500000000000000000e+01 5.984031835050151950e-08 7.523385129721680637e-09 5.939489965096105855e-09
5.600000000000000000e+01 5.988592767054913044e-08 7.527308262741385569e-09 5.944286072885136517e-09
5.700000000000000000e+01 5.993212218499914526e-08 7.531309391905568628e-09 5.949172037093284465e-09
5.800000000000000000e+01 5.997885017584632529e-08 7.535388235208385890e-09 5.954147183344318524e-09
5.900000000000000000e+01 6.002615831873493956e-08 7.539543397301495357e-09 5.959211075927757991e-09
6.000000000000000000e+01 6.007399962171545547e-08 7.543774569410610017e-09 5.964363079386194698e-09
6.100000000000000000e+01 6.012242249548244042e-08 7.548081022853326280e-09 5.969603202974586078e-09
6.200000000000000000e+01 6.017137620158325753e-08 7.552461992072122763e-09 5.974930474013472463e-09
6.300000000000000000e+01 6.022090687833910983e-08 7.556916726448174658e-09 5.980344857662051120e-09
6.400000000000000000e+01 6.027096987835619013e-08 7.561444487484469562e-09 5.985845479316808051e-09
6.500000000000000000e+01 6.032160328402432669e-08 7.566044548094943354e-09 5.991432232899697836e-09
6.600000000000000000e+01 6.037276498142562814e-08 7.570716190082338672e-09 5.997104265829683429e-09
6.700000000000000000e+01 6.042449687850266796e-08 7.575458702127055878e-09 6.002861509432858084e-09
6.800000000000000000e+01 6.047675830511101025e-08 7.580271380566291022e-09 6.008703147514490915e-09
6.900000000000000000e+01 6.052958437307248503e-08 7.585153525012754607e-09 6.014629082664801198e-09
7.000000000000000000e+01 6.058294261617424516e-08 7.590104439578084958e-09 6.020638534507987794e-09
7.100000000000000000e+01 6.063685826567149018e-08 7.595123431201448725e-09 6.026731288673051429e-09
7.200000000000000000e+01 6.069130281485140706e-08 7.600209809300783341e-09 6.032906651314456345e-09
7.300000000000000000e+01 6.074630945372856658e-08 7.605362886126039538e-09 6.039164474982678257e-09
7.400000000000000000e+01 6.080184549881204901e-08 7.610581972490939316e-09 6.045504005325205039e-09
